nama_tempat,rating,jumlah_ulasan,kategori,alamat_lengkap,jam_operasional,nomor_telepon,menu,tautan_google_maps
Forty Coffee Purwakarta,"4,8",70,Kedai Kopi,"Jl. Ipik Gandamanah Blok No.25, RT.1/RW.2, Tegalmunjul, Kec. Sukasari, Kabupaten Purwakarta, Jawa Barat 41115",Jam,0812-2307-4640,Menu,https://www.google.com/maps/place/Forty+Coffee+Purwakarta/data=!4m7!3m6!1s0x2e690fc1622dec35:0xd314e0cfdca82cd6!8m2!3d-6.5433868!4d107.4466927!16s%2Fg%2F11r7kfv66p!19sChIJNewtYsEPaS4R1iyo3M_gFNM?authuser=0&hl=id&rclk=1
Modo Greece Coffee House,"4,3",903,Kedai Kopi,"Jln. Laksa Laut Jl. Laks. Laut RE. Martadinata No.80, RW.009, Nagri Kidul, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41111",Jam,0851-3878-9082,Menu,https://www.google.com/maps/place/Modo+Greece+Coffee+House/data=!4m7!3m6!1s0x2e690f45b07136f9:0x7d946cb6b3dfbf94!8m2!3d-6.557581!4d107.4439673!16s%2Fg%2F11vqpx4k6d!19sChIJ-TZxsEUPaS4RlL_fs7ZslH0?authuser=0&hl=id&rclk=1
Playlist Coffee,"4,7",158,Kedai Kopi,"Jl. Mr. Dr. Kusumahatmaja No.1, Cipaisan, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41113",Jam,0812-1091-1135,https://www.google.com/maps/contrib/115886306253251066040?hl=id-ID,https://www.google.com/maps/place/Playlist+Coffee/data=!4m7!3m6!1s0x2e690f3bce8cd581:0x58a46e0b6b043efe!8m2!3d-6.5551366!4d107.4414515!16s%2Fg%2F11rg7gjw1h!19sChIJgdWMzjsPaS4R_j4EawtupFg?authuser=0&hl=id&rclk=1
Kopi Calf To Go Purwakarta,"4,9",1.123,Kedai Kopi,"Jl. Jendral Sudirman No.196, Nagri Kaler, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41115",Jam,0851-2944-5389,Menu,https://www.google.com/maps/place/Kopi+Calf+To+Go+Purwakarta/data=!4m7!3m6!1s0x2e690f145992c053:0xd2c9c5fd69542bd4!8m2!3d-6.5433055!4d107.4438053!16s%2Fg%2F11yftj4tg4!19sChIJU8CSWRQPaS4R1CtUaf3FydI?authuser=0&hl=id&rclk=1
D'FEZ [ ROOFTOP CAFE ],"4,4",117,Kafe,"Jl. Raya Sadang No.324a, Ciseureuh, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41151",Jam,0817-422-195,Menu,https://www.google.com/maps/place/D%27FEZ+%5B+ROOFTOP+CAFE+%5D/data=!4m7!3m6!1s0x2e690dd40aec5d71:0x5cec00a4744b98e7!8m2!3d-6.5104306!4d107.4592783!16s%2Fg%2F11lr7lcdjm!19sChIJcV3sCtQNaS4R55hLdKQA7Fw?authuser=0&hl=id&rclk=1
Arena Kopi - Coffee & Eatery,"4,2",209,Kedai Kopi,"Jl. Munjul Jaya, Munjuljaya, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41117",Jam,,Menu,https://www.google.com/maps/place/Arena+Kopi+-+Coffee+%26+Eatery/data=!4m7!3m6!1s0x2e690f4391a65f03:0xca2f1bdc8bfff621!8m2!3d-6.5328013!4d107.4542601!16s%2Fg%2F11qb5qt0qg!19sChIJA1-mkUMPaS4RIfb_i9wbL8o?authuser=0&hl=id&rclk=1
Pendopo Coffee,"4,8",607,Restoran,"Kec, Jl. Veteran Jl. Raya Sadang No.15, RT.032/RW.009, Mulyamekar, Kec. Babakancikao, Kabupaten Purwakarta, Jawa Barat 41151",Jam,0856-0193-3461,Menu,https://www.google.com/maps/place/Pendopo+Coffee/data=!4m7!3m6!1s0x2e690de7834c1b03:0x54b41b1350a0adc3!8m2!3d-6.513835!4d107.4537973!16s%2Fg%2F11v60qcpmj!19sChIJAxtMg-cNaS4Rw62gUBMbtFQ?authuser=0&hl=id&rclk=1
Clavia Koffie En Chillen,"4,4",272,Restoran,"Jl. K.K Singawinata No.1, Nagri Tengah, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41114",Jam,,Menu,https://www.google.com/maps/place/Clavia+Koffie+En+Chillen/data=!4m7!3m6!1s0x2e690f7aea8e7247:0x6bdc968eb8198ba8!8m2!3d-6.5531086!4d107.4456748!16s%2Fg%2F11lt50mhq0!19sChIJR3KO6noPaS4RqIsZuI6W3Gs?authuser=0&hl=id&rclk=1
The Sunday Café,"4,4",566,Kafe,"Jl. Jendral Sudirman No.124, Nagri Tengah, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41114",Jam,0877-3030-1199,Menu,https://www.google.com/maps/place/The+Sunday+Caf%C3%A9/data=!4m7!3m6!1s0x2e690e5d31f7ec51:0x123a2d38c683f4bf!8m2!3d-6.5460239!4d107.4436927!16s%2Fg%2F11f03llxqr!19sChIJUez3MV0OaS4Rv_SDxjgtOhI?authuser=0&hl=id&rclk=1
Salbeans Park,"4,7",241,Kedai Kopi,"Jl. Kolonel Rahmat, Citalang, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41181",Jam,0817-5711-114,Menu,https://www.google.com/maps/place/Salbeans+Park/data=!4m7!3m6!1s0x2e690f0311e08809:0xe33fc42d27681088!8m2!3d-6.5488513!4d107.4613293!16s%2Fg%2F11swk01r3n!19sChIJCYjgEQMPaS4RiBBoJy3EP-M?authuser=0&hl=id&rclk=1
Patio Coffee & Space,"4,3",128,Kedai Kopi,"Jl. Pramuka No.13, Bunder, Kec. Jatiluhur, Kabupaten Purwakarta, Jawa Barat 41161",Jam,0821-2718-3301,Menu,https://www.google.com/maps/place/Patio+Coffee+%26+Space/data=!4m7!3m6!1s0x2e690f2aa89ad821:0x5b9b7b9cc31f9f4e!8m2!3d-6.5606602!4d107.4326023!16s%2Fg%2F11wpqt4w2j!19sChIJIdiaqCoPaS4RTp8fw5x7m1s?authuser=0&hl=id&rclk=1
Eternal’s Cafe,"4,9",26,Kedai Kopi,"Jl. K.K Singawinata, Nagri Kidul, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41111",Jam,0878-2607-0787,Menu,https://www.google.com/maps/place/Eternal%E2%80%99s+Cafe/data=!4m7!3m6!1s0x2e690fe2c14fe73b:0x7e89a26ba29e376d!8m2!3d-6.5604321!4d107.447145!16s%2Fg%2F11w_w3z3py!19sChIJO-dPweIPaS4RbTeeomuiiX4?authuser=0&hl=id&rclk=1
Analog Coffee,"4,7",31,Kedai Kopi,"CF79+35J, Jl. Kp. Sawah Tengah, Pasawahankidul, Kec. Pasawahan, Kabupaten Purwakarta, Jawa Barat 41172",Jam,,https://www.google.com/maps/contrib/110538613446232973503?hl=id-ID,https://www.google.com/maps/place/Analog+Coffee/data=!4m7!3m6!1s0x2e690f000f51e3d9:0x4e091028821c0fe3!8m2!3d-6.5872769!4d107.4678787!16s%2Fg%2F11mzyyg98t!19sChIJ2eNRDwAPaS4R4w8cgigQCU4?authuser=0&hl=id&rclk=1
Yello Coffee Bar,"4,7",78,Kedai Kopi,"Jl. Jendral Sudirman No.235, Nagri Kaler, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41115",Jam,0897-1918-871,Menu,https://www.google.com/maps/place/Yello+Coffee+Bar/data=!4m7!3m6!1s0x2e690f098d703555:0x9c097f99d3ad59d1!8m2!3d-6.5413648!4d107.4436712!16s%2Fg%2F11lgc_blb8!19sChIJVTVwjQkPaS4R0Vmt05l_CZw?authuser=0&hl=id&rclk=1
Djajan Coffee,"4,8",123,Kedai Kopi,"Jl. Flamboyan, Ciwareng, Kec. Babakancikao, Kabupaten Purwakarta, Jawa Barat 41118",Jam,,Menu,https://www.google.com/maps/place/Djajan+Coffee/data=!4m7!3m6!1s0x2e690fc5203d40b5:0x92cfcf3fa3a5e842!8m2!3d-6.5309303!4d107.4422233!16s%2Fg%2F11gs924xcx!19sChIJtUA9IMUPaS4RQuiloz_Pz5I?authuser=0&hl=id&rclk=1
Hexa Space,"4,6",65,Kedai Kopi,"Jl. Basuki Rahmat No.100, Sindangkasih, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41112",Jam,0819-1000-4645,Menu,https://www.google.com/maps/place/Hexa+Space/data=!4m7!3m6!1s0x2e690f717ecb1095:0xe2b9a276a1f68a6f!8m2!3d-6.5605479!4d107.4386781!16s%2Fg%2F11ghdr71hg!19sChIJlRDLfnEPaS4Rb4r2oXaiueI?authuser=0&hl=id&rclk=1
Coffeecafe Purwakarta,,,Kedai Kopi,"GC4X+3HC, Perum Gandasari Jl. Arjuna, Cigelam, Kec. Babakancikao, Kabupaten Purwakarta, Jawa Barat 41151",Jam,0877-7994-0216,Menu,https://www.google.com/maps/place/Coffeecafe+Purwakarta/data=!4m7!3m6!1s0x2e690d0061674a01:0xa19895352fcd310f!8m2!3d-6.4948119!4d107.4488777!16s%2Fg%2F11z52kg3q4!19sChIJAUpnYQANaS4RDzHNLzWVmKE?authuser=0&hl=id&rclk=1
d'SRUPUT Maracang (Coffee n'friends),"4,6",208,Kedai Kopi,"FCGM+8PV, Maracang, Kec. Babakancikao, Kabupaten Purwakarta, Jawa Barat 41151",Jam,0821-1628-7293,Menu,https://www.google.com/maps/place/d%27SRUPUT+Maracang+%28Coffee+n%27friends%29/data=!4m7!3m6!1s0x2e690f824c703a83:0x53664eb79fc814f3!8m2!3d-6.5241321!4d107.4342922!16s%2Fg%2F11pfpclhh3!19sChIJgzpwTIIPaS4R8xTIn7dOZlM?authuser=0&hl=id&rclk=1
Point Cafe KM 72B,"4,5",154,,"Cigelam, Kec. Babakancikao, Kabupaten Purwakarta, Jawa Barat 41151",Jam,,Menu,https://www.google.com/maps/place/Point+Cafe+KM+72B/data=!4m7!3m6!1s0x2e690dbf9473c9f7:0xa9beec2cc790caf5!8m2!3d-6.4695388!4d107.4449062!16s%2Fg%2F11gy9zlkp6!19sChIJ98lzlL8NaS4R9cqQxyzsvqk?authuser=0&hl=id&rclk=1
HEYHO CAFE AND COFFEE BAR,"4,2",1.103,Kafe,"Mulyamekar, Kec. Babakancikao, Kabupaten Purwakarta, Jawa Barat 41151",Jam,0822-9809-7810,Menu,https://www.google.com/maps/place/HEYHO+CAFE+AND+COFFEE+BAR/data=!4m7!3m6!1s0x2e690ddda84f3803:0x2c505a81e7010117!8m2!3d-6.5156243!4d107.4534476!16s%2Fg%2F11dzwj0mq6!19sChIJAzhPqN0NaS4RFwEB54FaUCw?authuser=0&hl=id&rclk=1
Calabar Cafe Purwakarta,"4,3",179,Kafe,"CCVQ+X5Q, Jl. Mr. Dr. Kusumahatmaja, Cipaisan, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41113",Jam,(0264) 231707,Menu,https://www.google.com/maps/place/Calabar+Cafe+Purwakarta/data=!4m7!3m6!1s0x2e690e575293587b:0x88310f0fda473240!8m2!3d-6.5550345!4d107.437995!16s%2Fg%2F11cm03v7r1!19sChIJe1iTUlcOaS4RQDJH2g8PMYg?authuser=0&hl=id&rclk=1
Duré Coffee,"4,5",33,Kedai Kopi,"Jl. Ciganea samping RM Ciganea No.5, Mekargalih, Kec. Jatiluhur, Kabupaten Purwakarta, Jawa Barat 41152",,,Menu,https://www.google.com/maps/place/Dur%C3%A9+Coffee/data=!4m7!3m6!1s0x2e690f56b0592881:0xe8f628b71d01419b!8m2!3d-6.5656019!4d107.4338919!16s%2Fg%2F11n1f6_chf!19sChIJgShZsFYPaS4Rm0EBHbco9ug?authuser=0&hl=id&rclk=1
Warung Ngopi Umam,"4,7",173,Kafe,"Jl. Ibrahim Singadilaga Koncara No.30, Nagri Kaler, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41115",Jam,0877-7960-2499,Menu,https://www.google.com/maps/place/Warung+Ngopi+Umam/data=!4m7!3m6!1s0x2e690ff35fdfdd8b:0x79461df59e408d57!8m2!3d-6.5432794!4d107.4415773!16s%2Fg%2F11h21pr7v8!19sChIJi93fX_MPaS4RV41AnvUdRnk?authuser=0&hl=id&rclk=1
Cangkir Pertama coffee,"4,6",208,Kedai Kopi,"Jl. Syeikh Baing Yusuf Cluster Marsela No.samping, Maracang, Kec. Babakancikao, Kabupaten Purwakarta, Jawa Barat 41151",Jam,0818-0666-6752,Menu,https://www.google.com/maps/place/Cangkir+Pertama+coffee/data=!4m7!3m6!1s0x2e690f0d8a8746cd:0x225c537598658afa!8m2!3d-6.5263763!4d107.435825!16s%2Fg%2F11h71f1q1t!19sChIJzUaHig0PaS4R-oplmHVTXCI?authuser=0&hl=id&rclk=1
Kedai Kopi NGUPI-NGUPI,"4,6",425,Kedai Kopi,"Jl. K.K Singawinata No.9 RT16, RW.02, Nagri Tengah, Purwakarta, Purwakarta Regency, West Java 41114",Jam,,https://www.google.com/maps/contrib/117145940026468327850?hl=id-ID,https://www.google.com/maps/place/Kedai+Kopi+NGUPI-NGUPI/data=!4m7!3m6!1s0x2e690e5207da136d:0x89a383b6857fed4e!8m2!3d-6.5519519!4d107.4450956!16s%2Fg%2F11c5_9kymg!19sChIJbRPaB1IOaS4RTu1_hbaDo4k?authuser=0&hl=id&rclk=1
Kopi Syahdu,"4,6",53,Kafe,"Kp. Krajan 2, Tanjungsari, Kec. Pondoksalam, Kabupaten Purwakarta, Jawa Barat 41115",Jam,,Menu,https://www.google.com/maps/place/Kopi+Syahdu/data=!4m7!3m6!1s0x2e690f7fa2eaaa35:0x8aa43ad725a04f8e!8m2!3d-6.6112187!4d107.4830291!16s%2Fg%2F11lh_qvvqp!19sChIJNarqon8PaS4Rjk-gJdc6pIo?authuser=0&hl=id&rclk=1
Kedai Kopi Ciganea,"4,2",254,Kedai Kopi,"FC9Q+2VH, Purwamekar, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41151",Jam,,https://www.google.com/maps/contrib/109067577504142081014?hl=id-ID,https://www.google.com/maps/place/Kedai+Kopi+Ciganea/data=!4m7!3m6!1s0x2e690f001d9fe915:0x3b05eee7d17b1293!8m2!3d-6.5324383!4d107.439729!16s%2Fg%2F11y27llrbt!19sChIJFemfHQAPaS4RkxJ70efuBTs?authuser=0&hl=id&rclk=1
Rangkai Coffee,"4,4",22,Kedai Kopi,"Jl. Siliwangi No.5, Nagri Tengah, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41114",Jam,0877-8105-0786,Menu,https://www.google.com/maps/place/Rangkai+Coffee/data=!4m7!3m6!1s0x2e690f7bece8435f:0xc6ce68d65b17e1f9!8m2!3d-6.5553584!4d107.4456416!16s%2Fg%2F11vb6df2_m!19sChIJX0Po7HsPaS4R-eEXW9ZozsY?authuser=0&hl=id&rclk=1
Route55 Coffee Tahlil,"4,7",23,$,"Jalan K.K Singawinata, Nagri Tengah, Kecamatan Purwakarta, Nagri Tengah, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41114",Jam,0877-7959-3911,https://www.google.com/maps/contrib/101093399637450730411?hl=id-ID,https://www.google.com/maps/place/Route55+Coffee+Tahlil/data=!4m7!3m6!1s0x2e690e4ef9d3283b:0x4cd63130093e6e6a!8m2!3d-6.55461!4d107.446101!16s%2Fg%2F11dfh1y18r!19sChIJOyjT-U4OaS4Ram4-CTAx1kw?authuser=0&hl=id&rclk=1
Kedai Kopi Moppi,"5,0",43,Kedai Kopi,"Jl. Veteran, Ciseureuh, Kec. Babakancikao, Kabupaten Purwakarta, Jawa Barat 41151",Jam,0857-5910-7998,Menu,https://www.google.com/maps/place/Kedai+Kopi+Moppi/data=!4m7!3m6!1s0x2e690d551ba39e67:0xfde1ef344e111b87!8m2!3d-6.5158272!4d107.4539525!16s%2Fg%2F11vkwtq1bc!19sChIJZ56jG1UNaS4RhxsRTjTv4f0?authuser=0&hl=id&rclk=1
(523 Coffee) by Balad Ngopi,"5,0",50,Kedai Kopi,"Kadumekar, Kec. Babakancikao, Kabupaten Purwakarta, Jawa Barat 41151",Jam,0857-2156-0653,Menu,https://www.google.com/maps/place/%28523+Coffee%29+by+Balad+Ngopi/data=!4m7!3m6!1s0x2e690dcbb9cbdf8f:0xb1369bb4c403347b!8m2!3d-6.5218657!4d107.4223692!16s%2Fg%2F11hjc0326f!19sChIJj9_LucsNaS4RezQDxLSbNrE?authuser=0&hl=id&rclk=1
WARKOP LASPARGA,"4,2",46,Restoran,"Jl. Rusa I No.1, Nagri Kidul, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41111",Jam,,Menu,https://www.google.com/maps/place/WARKOP+LASPARGA/data=!4m7!3m6!1s0x2e690f0041b3967b:0x7604fe371122574c!8m2!3d-6.5577449!4d107.4433374!16s%2Fg%2F11yvcm1mtw!19sChIJe5azQQAPaS4RTFciETf-BHY?authuser=0&hl=id&rclk=1
Point Cafe,"4,3",32,Kedai Kopi,"Jl. Veteran No.3, Mulyamekar, Kec. Babakancikao, Kabupaten Purwakarta, Jawa Barat 41115",Jam,(021) 1500280,Menu,https://www.google.com/maps/place/Point+Cafe/data=!4m7!3m6!1s0x2e690dbdffa34abb:0xbbf4baeb4a36f401!8m2!3d-6.516055!4d107.4531137!16s%2Fg%2F11h_f70lk9!19sChIJu0qj_70NaS4RAfQ2Suu69Ls?authuser=0&hl=id&rclk=1
Tamu Kopi,"5,0",23,Kedai Kopi,"Jl. Siliwangi No.11, Nagri Tengah, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41114",Jam,0889-7549-9508,Menu,https://www.google.com/maps/place/Tamu+Kopi/data=!4m7!3m6!1s0x2e690f00106a232f:0x3c39d832bc734ed5!8m2!3d-6.5561764!4d107.4450338!16s%2Fg%2F11xlpy9lpt!19sChIJLyNqEAAPaS4R1U5zvDLYOTw?authuser=0&hl=id&rclk=1
Jiro Coffee & Toast,"4,6",183,Kafe,"Jl. Ibrahim Singadilaga No.86, Nagri Kaler, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41119",,0819-2000-600,Menu,https://www.google.com/maps/place/Jiro+Coffee+%26+Toast/data=!4m7!3m6!1s0x2e690fcdb76a6e21:0xc1fba021759d926c!8m2!3d-6.5398141!4d107.440698!16s%2Fg%2F11h7v032xs!19sChIJIW5qt80PaS4RbJKddSGg-8E?authuser=0&hl=id&rclk=1
Temu Sapa Coffee,"4,7",31,Kedai Kopi,"Desa Ciwareng No.35, RT.02/RW01, Ciwangi, Kec. Babakancikao, Kabupaten Purwakarta, Jawa Barat 41151",,0896-6543-8297,Menu,https://www.google.com/maps/place/Temu+Sapa+Coffee/data=!4m7!3m6!1s0x2e690f05e3f47acf:0x7d561b8dec917762!8m2!3d-6.5039807!4d107.4631471!16s%2Fg%2F11tk8f38lv!19sChIJz3r04wUPaS4RYneR7I0bVn0?authuser=0&hl=id&rclk=1
Kopi Lain Hati Veteran Purwakarta,"4,4",572,Kedai Kopi,"Jl. Veteran No.39, Ciseureuh, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41118",,0818-0930-4183,Menu,https://www.google.com/maps/place/Kopi+Lain+Hati+Veteran+Purwakarta/data=!4m7!3m6!1s0x2e690dd157a393e5:0x6cf0f938655db045!8m2!3d-6.5156048!4d107.4539737!16s%2Fg%2F11j8hm6jd3!19sChIJ5ZOjV9ENaS4RRbBdZTj58Gw?authuser=0&hl=id&rclk=1
Warput,"4,9",18,Kedai Kopi,"Jl. Veteran Sadang Jembatan Layang, Kp. Cihideung Mulyamekar, Kec, Mulyamekar, Kec. Babakancikao, Kabupaten Purwakarta, Jawa Barat 41151",,0831-0120-6364,Menu,https://www.google.com/maps/place/Warput/data=!4m7!3m6!1s0x2e690db0fa274f93:0x642ebbbbec799189!8m2!3d-6.5121899!4d107.45648!16s%2Fg%2F11sx_4wkbb!19sChIJk08n-rANaS4RiZF57Lu7LmQ?authuser=0&hl=id&rclk=1
Inspired Cafe,"4,3",108,$$,"CCXW+34M, Jl. K.K Singawinata, Nagri Tengah, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41114",,,Menu,https://www.google.com/maps/place/Inspired+Cafe/data=!4m7!3m6!1s0x2e690e45234ea5d9:0xb88145137691f638!8m2!3d-6.5522758!4d107.4452945!16s%2Fg%2F11g6rccy8y!19sChIJ2aVOI0UOaS4ROPaRdhNFgbg?authuser=0&hl=id&rclk=1
